fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
195;62263900050041_2090233.txt;62263900050041;2090233.2704737722;193;193;0;584226.0078701235;9308903.350164697;1810.0276240985936;OK;
196;62263900040711_2085464.txt;62263900040711;2085464.4601512968;187;187;0;586576.0078701235;9312053.350164697;1337.0115930686616;OK;
197;62263900040561_2082473.txt;62263900040561;2082473.9381515016;200;200;0;589066.0078701235;9313493.350164697;1471.3599151805108;OK;
198;62263900040511_2081466.txt;62263900040511;2081466.8580859182;202;202;0;589976.0078701235;9313943.350164697;1493.7201879870272;OK;
199;62263900040461_2080481.txt;62263900040461;2080481.184204808;200;200;0;590916.0078701235;9314343.350164697;1480.3040228277432;OK;
200;62263900040401_2079248.txt;62263900040401;2079248.4089401786;199;199;0;591896.0078701235;9314613.350164697;1582.4032355881986;OK;
201;62263900040361_2078454.txt;62263900040361;2078454.134245719;204;204;0;592646.0078701235;9314833.350164697;1649.2422502470642;OK;
202;62263900040311_2077467.txt;62263900040311;2077467.9651946547;195;195;0;593476.0078701235;9315043.350164697;1744.8495637160242;OK;
203;62263900040261_2076466.txt;62263900040261;2076466.3848531607;169;169;0;594456.0078701235;9315423.350164697;1340.3357788255896;OK;
204;62263900040211_2075440.txt;62263900040211;2075440.146766388;194;194;0;595476.0078701235;9316813.350164697;1813.9735389470266;OK;
205;62263900040161_2074442.txt;62263900040161;2074442.1934515743;178;178;0;596656.0078701235;9316273.350164697;1338.2451195502265;OK;
206;62263900030371_2069458.txt;62263900030371;2069458.5832281292;203;203;0;600926.0078701235;9313273.350164697;1431.7821063276353;OK;
207;62263900030121_2064464.txt;62263900030121;2064464.9960052646;510;510;0;605566.0078701235;9312043.350164697;3651.3696060519537;OK;
208;62263900030061_2063265.txt;62263900030061;2063265.6022206284;552;552;0;606356.0078701235;9311213.350164697;4008.0543908485074;OK;
209;62263900020451_2061944.txt;62263900020451;2061944.0546811393;802;802;0;607366.0078701235;9311663.350164697;6464.804714761305;OK;
210;62263900020281_2058569.txt;62263900020281;2058569.2507635509;490;490;0;610276.0078701235;9310513.350164697;2553.27241006517;OK;
211;62263900020041_2053820.txt;62263900020041;2053820.3081308117;735;735;0;614816.0078701235;9307743.350164697;6520.927848090331;OK;
212;62263900010391_2051650.txt;62263900010391;2051650.7173293622;961;961;0;616866.0078701235;9308173.350164697;6654.697588921678;OK;
